States,Market,Type,Link
TX,"Collin County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://collincountytx.publicsearch.us/
TX,"Denton County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://dentoncounty.tx.publicsearch.us/
TX,"Williamson County, TX","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://williamson.tx.publicsearch.us/
CO,"El Paso County, CO","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://recording.elpasoco.com/PublicRecords/Search.aspx
CO,"Jefferson County, CO","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://jeffco.us/1429/Property-Records-Search
GA,"DeKalb County, GA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://dekalbcountyga.gov/recorder/deed-records
GA,"Gwinnett County, GA","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://gwinnettcounty.com/web/gwinnett/departments/courtsandlaw/superiorcourtclerkofcourts
TN,"Davidson County, TN","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.nashville.gov/departments/register-of-deeds
OH,"Cuyahoga County, OH","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://recorder.cuyahogacounty.us/search
OH,"Hamilton County, OH","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.hamiltoncountyrecorder.com/searchrecord.aspx
MN,"Hennepin County, MN","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.hennepin.us/property/land-records/land-records-search
WI,"Dane County, WI","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://www.countyofdane.com/register-of-deeds
AZ,"Pima County, AZ","Liens, Probates, Pre-Foreclosures, Bankruptcy, and Divorce",https://pimacountyaz-web.tylerhost.net/web/search/DOCSEARCH55S8
TX,"San Antonio, TX",Code Violation,https://data-sa.opendata.arcgis.com/datasets/code-enforcement-cases
AZ,"Scottsdale, AZ",Code Violation,https://opendata.arcgis.com/datasets/scottsdale-code-enforcement-cases
CA,"Riverside County, CA",Code Violation,https://hub.arcgis.com/datasets/riverside-code-enforcement
NC,"Durham, NC",Code Violation,https://data.durhamnc.gov/datasets/code-enforcement-cases
VA,"Richmond, VA",Code Violation,https://data.richmondgov.com/datasets/code-enforcement-cases
FL,"Jacksonville, FL",Code Violation,https://www.coj.net/departments/neighborhoods/citizen-action-center
CA,"San Jose, CA",Code Violation,https://data.sanjoseca.gov/datasets/code-enforcement-cases
